acc,bra,str,dstr,ddstr,ax,ay,V,LO,HA,SSW_LeftDown,SSW_LeftCenter,SSW_LeftTop,SSW_CenterTop,SSW_RightTop,SSW_RightCenter,SSW_RightDown,HeartRate,Label,time_in_SEC
0,0,0.251327412,-0.471238898,-1.505958158,-0.195397077,0.151192094,123.657151,0.044735379,-0.873065073,0,0,5,0,6,0,0,90,1,12.5
0,0,0.245829625,0,0.772851611,-0.193409569,0.171179973,122.9482489,0.06044809,-1.072975436,0,0,5,0,6,0,0,90,1,12.6
0,0.4841,0.235619449,0,3.550073539,-0.657629907,0.183131259,120.910207,0.077216828,-1.293244382,0,0,5,0,6,0,0,90,1,12.7
0,0.5508,0.220696884,-0.471238898,4.711612061,-0.715067929,0.202690404,118.3964095,0.093545658,-1.557859208,0,0,5,0,6,0,0,90,1,12.8
0,0.58595,0.189280957,-0.628318531,2.278890861,-0.74156153,0.222673137,115.7255969,0.107210167,-1.864565384,0,0,5,0,6,0,0,90,1,12.9
0,0,0.170431401,-0.157079633,-3.856302937,-0.170435138,0.244662697,115.0622699,0.114472042,-2.143510359,0,0,5,0,6,0,0,88,1,13
0,0,0.129590697,-0.942477796,-10.98114433,-0.167978196,0.236282993,114.4322392,0.112823497,-2.32301251,0,0,5,0,6,0,0,88,1,13.1
0,0.1508,0.089535391,-0.628318531,-14.37150699,-0.31196952,0.21683074,113.7861417,0.102745389,-2.389071088,0,0,5,0,6,0,0,88,1,13.2
0,0,0.029059732,-1.099557429,-9.7595465,-0.162940963,0.190206236,113.1880499,0.085811022,-2.330651612,0,0,5,0,6,0,0,88,1,13.3
0.64455,0,-0.112311937,-3.612831552,3.741310511,0.17140646,0.134192911,113.3737922,0.064510936,-2.102211446,0,0,5,0,6,0,0,88,1,13.4
0.98435,0,-0.27803095,-2.35619449,22.06227572,0.343858169,0.049299601,114.4887663,0.043777072,-1.586441911,0,0,5,0,6,0,0,88,1,13.5
0.9883,0,-0.285884931,0,37.19891221,0.341913542,-0.012397646,115.7120002,0.03044428,-0.776125937,0,0,5,0,6,0,0,88,1,13.6
0.78125,0,-0.234048653,2.827433388,40.75160547,0.231125096,-0.073992845,116.7447504,0.031079543,0.215659026,0,0,5,1,6,0,0,88,1,13.7
0.8086,0,0.489303056,21.51990968,28.32436748,0.240891502,0.034413809,117.3660919,0.048738829,1.14825864,0,0,5,1,6,0,0,88,1,13.8
1,0,1.459269788,6.911503838,2.308167889,0.301609274,0.269369515,118.4654284,0.070027904,1.276692422,0,0,5,1,6,0,0,88,1,13.9
1,0,1.859037453,6.911503838,-28.48044932,0.269711195,0.464862217,119.4826685,0.075342143,0.033307462,0,0,5,1,6,0,0,88,1,14
1,0,2.06559717,0,-52.44672435,0.241365061,0.690979855,120.2821497,0.045906908,-2.549067502,0,0,5,1,6,0,0,88,1,14.1
1,0,1.819767545,-8.79645943,-60.42254018,0.239626633,0.879619096,120.7160577,-0.039292311,-6.129974389,0,0,3,0,6,0,0,88,1,14.2
1,0,1.604568448,-1.570796327,-49.78661451,0.242410972,1.055723345,120.7538331,-0.199199728,-10.09472286,0,0,3,0,6,0,0,88,1,14.3
1,0,1.361880415,-8.79645943,-25.40811175,0.251096624,1.181313904,120.4800791,-0.450943242,-13.88917828,0,0,3,0,6,0,0,88,1,14.4
0.9922,0,0.274889357,-18.22123739,2.929616198,0.31210841,1.030445866,120.4281029,-0.800391818,-16.85007613,0,0,3,0,6,0,0,88,1,14.5
0.98045,0,-0.631460123,-11.93805208,25.18603143,0.329201193,0.781356658,121.0192832,-1.236073977,-18.11632839,0,0,3,0,6,0,0,88,1,14.6
0.96875,0,-0.839590637,0.314159265,35.35089379,0.318788341,0.551694784,122.3429064,-1.73983141,-17.37574248,0,0,3,0,6,0,0,88,1,14.7
0.96875,0,-0.777544182,0.157079633,33.31611285,0.309202558,0.272296162,124.0143842,1.559101971,-15.03120634,0,0,5,1,6,0,0,87,1,14.8
